Assembler,K,NUM OF UCEs found,NUM OF MARKERS COMPLETE,NUM OF MARKERS PARTIAL,NUM OF ABBERANT PROTEINS,NUM OF FGMP COMPLETENESS MARKERS
Spades,125,NA,NA,NA,NA,NA
Soapdenovo,115,28,541,19,70,592
Spades,25,28,523,24,137,589
Soapdenovo,125,28,492,31,148,589
Spades,75,28,500,32,149,588
Abyss,100,28,494,30,152,588
Spades,115,28,494,34,145,588
Abyss,90,28,492,29,154,588
Abyss,60,28,489,36,147,588
Spades,55,28,502,31,141,587
Spades,65,28,502,31,149,587
Spades,85,28,497,35,150,587
Spades,95,28,497,32,149,587
Abyss,80,28,491,31,151,587
Spades,105,28,491,35,151,587
Masurca,auto,28,490,30,152,587
Abyss,50,28,488,34,143,587
Abyss,70,28,488,31,147,587
Spades,45,28,499,33,134,586
Soapdenovo,95,28,487,41,136,586
Soapdenovo,105,28,483,47,147,586
Spades,35,28,507,29,130,585
Soapdenovo,85,28,464,58,141,585
Soapdenovo,75,27,442,73,122,585
Soapdenovo,65,27,421,92,116,583
Soapdenovo,55,23,404,116,89,576
Soapdenovo,45,23,350,156,69,569
Soapdenovo,35,24,302,182,15,540
Soapdenovo,25,18,254,199,2,510
Soapdenovo,15,3,11,27,0,49
Spades,15,1,0,1,0,1